503002338|1|Major manufacturer -  critical  water quality sensitivity|0|
507002000|1|Major food & drink manufacturer|0|
507002000|1|Major manufacturer -  critical  water quality sensitivity|0|
509002201|0||1|Hospital
513002007|0||1|Hospital
518002019|1|Major manufacturer -  critical  water quality sensitivity|0|
518002025|1|Major manufacturer -  critical  water quality sensitivity|0|
518002025|1|NHH  - detrimental network impact|0|
520002172|1|Major food & drink manufacturer|0|
520002172|1|Major manufacturer -  critical  water quality sensitivity|0|
525002002|1|Major food & drink manufacturer|0|
525002002|1|Major manufacturer -  critical  water quality sensitivity|0|
529002017|1|Major food & drink manufacturer|0|
529002017|1|Major manufacturer -  critical  water quality sensitivity|0|
529002017|1|NHH  - detrimental network impact|0|
530002225|0||1|Blue Light site
530002225|0||1|Major manufacturer -  critical  water quality sensitivity
535002168|0||1|COMAH site
535002346|0||1|COMAH site
535002346|0||1|NHH  - detrimental network impact
547004356|0||1|Hospital
547039822|0||1|Hospital
547041686|0||1|Hospital
547078897|0||1|Hospital
559002100|0||1|Hospital
561002002|1|Major food & drink manufacturer|0|
561002002|1|Major manufacturer -  critical  water quality sensitivity|0|
563002003|1|Major food & drink manufacturer|0|
563002003|1|Major manufacturer -  critical  water quality sensitivity|0|
563002003|1|NHH  - detrimental network impact|0|
583036242|0||1|Hospital
583052515|0||1|Hospital
583055633|1|Major food & drink manufacturer|0|
583055633|1|Major manufacturer -  critical  water quality sensitivity|0|
583078510|0||1|Hospital
583078672|0||1|Hospital
583079130|0||1|Hospital
583105124|0||1|Hospital
589002336|1|Major food & drink manufacturer|0|
589002336|1|Major manufacturer -  critical  water quality sensitivity|0|
590002002|0||1|Hospital
596002235|0||1|Hospital
596002252|0||1|Hospital
599002024|1|Major food & drink manufacturer|0|
599002024|1|Major manufacturer -  critical  water quality sensitivity|0|
599002079|1|Major food & drink manufacturer|0|
599002079|1|Major manufacturer -  critical  water quality sensitivity|0|
599002096|1|Major food & drink manufacturer|0|
599002096|1|Major manufacturer -  critical  water quality sensitivity|0|
599002148|0||1|Hospital
599002148|0||1|Major manufacturer -  critical  water quality sensitivity
599002166|1|Major food & drink manufacturer|0|
599002166|1|Major manufacturer -  critical  water quality sensitivity|0|
599002286|0||1|Hospital
599002286|0||1|Major manufacturer -  critical  water quality sensitivity
599002374|0||1|Hospital
599002396|0||1|Hospital
599002396|0||1|Major manufacturer -  critical  water quality sensitivity
599002397|0||1|Hospital
599002430|0||1|Prison
599002631|1|Major manufacturer -  critical  water quality sensitivity|0|
599002663|0||1|Hospital
599002826|1|Major manufacturer -  critical  water quality sensitivity|0|
599002828|1|Major manufacturer -  critical  water quality sensitivity|0|
599002829|1|Major manufacturer -  critical  water quality sensitivity|0|
