NO_IWCS|NM_PREFERRED|NO_ACCOUNT|INSTALLEDPROPERTYNUMBER|METERREF|MANUFACTURER_PK|MANUFACTURERSERIALNUM_PK
03003007202|MARSTONS PLC|513002011|599002459|436003784|SCHLUMBERGER|13XK062706
03003007202|MARSTONS PLC|513002011|599002459|543002752|SCHLUMBERGER|13XH071416
03003007202|MARSTONS PLC|513002011|599002459|602002343|SCHLUMBERGER|12XF061962
03003007203|MARSTONS PLC|513002011|599002459|887002456|KENTMETERS|99006546
03003007203|MARSTONS PLC|513002011|599002459|602002343|SCHLUMBERGER|12XF061962
03003007203|MARSTONS PLC|513002011|599002459|543002752|SCHLUMBERGER|13XH071416
03003007203|MARSTONS PLC|513002011|599002459|887002457|KENTMETERS|99821725
03003007203|MARSTONS PLC|513002011|599002459|436003784|SCHLUMBERGER|13XK062706
03003007900|MARSTONS PLC|513002011|599002459|887002457|KENTMETERS|99821725
03003007900|MARSTONS PLC|513002011|599002459|543002752|SCHLUMBERGER|13XH071416
03003007900|MARSTONS PLC|513002011|599002459|602002343|SCHLUMBERGER|12XF061962
03003007900|MARSTONS PLC|513002011|599002459|436003784|SCHLUMBERGER|13XK062706
03003007900|MARSTONS PLC|513002011|599002459|887002456|KENTMETERS|99006546
03003007901|MARSTONS PLC|513002011|599002459|887002456|KENTMETERS|99006546
03003007901|MARSTONS PLC|513002011|599002459|602002343|SCHLUMBERGER|12XF061962
03003007901|MARSTONS PLC|513002011|599002459|543002752|SCHLUMBERGER|13XH071416
03003007901|MARSTONS PLC|513002011|599002459|887002457|KENTMETERS|99821725
03003007901|MARSTONS PLC|513002011|599002459|436003784|SCHLUMBERGER|13XK062706
03003018100|MIDLAND PLATING LTD|320002607|470003834|855002499|SCHLUMBERGER|15JE119759
03003018100|MIDLAND PLATING LTD|320002607|470003834|219002823|SCHLUMBERGER|09025117
03003019000|SIMPLEX METAL FINISHERS LTD|592003425|535002332|315003580|ACTARIS|14JB053256
03003019000|SIMPLEX METAL FINISHERS LTD|592003425|535002488|967002315|KENTMETERS|99113072
03003020300|GLOBAL METAL FINISHERS LTD|406002998|434003459|926003351|ACTARIS|12XH014105
03003020901|2 SISTERS (WOLVERHAMPTON) LTD|32002073|547012673|912002431|ACTARIS|15JB047330
03003021401|WOLVERHAMPTON CITY COUNCIL|732003854|434003115|516003140|SCHLUMBERGER|11061538
03003022301|TCL MANUFACTURING LTD|719021270|406003747|260002688|ACTARIS|12007427
03003022301|TCL MANUFACTURING LTD|719021270|406003761|323005607|ACTARIS|14KC117199
03003022301|TCL MANUFACTURING LTD|719021270|406004133|644003707|UNKNOWN|97355913A
03018000400|HMP FEATHERSTONE|324002010|409002108|507002432|KENTMETERS|95001149
03018000400|HMP FEATHERSTONE|324002010|409002108|231003518|KENTMETERS|03011132
03018003402|BLAKEMORE FRESHFOODS LIMITED|470040369|230002210|351002200|SCHLUMBERGER|07993863
03051001301|N and W GLOBAL VENDING LTD|592003430|535002226|581005044|SCHLUMBERGER|09198039
03051001301|N and W GLOBAL VENDING LTD|592003430|535002227|887003813|ACTARIS|10XH050919
03051017800|LAYSTALL ENGINEERING COMPANY LTD|320002105|698002440|134007515|ACTARIS|15KD034421
03051017800|LAYSTALL ENGINEERING COMPANY LTD|320002105|698002439|170005882|ACTARIS|12MA000386
03051017800|LAYSTALL ENGINEERING COMPANY LTD|320002105|698002441|884002022|SCHLUMBERGER|03090390
03051018900|MCGEAN-ROHCO (UK) LTD|777002029|596002638|713007908|SCHLUMBERGER|14KE137796
03051018900|MCGEAN-ROHCO (UK) LTD|777002029|596002692|657002610|SCHLUMBERGER|01201088
03064025701|LAKELAND TANKERS LTD|332002195|831012664|590005274|SCHLUMBERGER|14BU008465
03064029401|MERCEDES-BENS OF STOURBRIDGE|311007158|601111426|648002733|SCHLUMBERGER|08044229
03079002700|T C MORRIS LTD|777002030|596002534|105012569|ACTARIS|16MA069462
03079004400|B E WEDGE  LTD|667002007|303003540|970003542|SOCAMOUSSON|06563703
03079005102|A F BLAKEMORE and SONS LTD|641002243|270002074|968002076|SOCAMOUSSON|04971012
03079005102|A F BLAKEMORE and SONS LTD|641002243|270002075|968002077|KENTMETERS|80104845
03079005102|A F BLAKEMORE and SONS LTD|641002243|270002080|968002074|KENTMETERS|96509194
03079005102|A F BLAKEMORE and SONS LTD|641002243|270002073|289008300|ACTARIS|12BU034918
03079005103|A F BLAKEMORE and SONS LTD|641002243|270002073|289008300|ACTARIS|12BU034918
03079005103|A F BLAKEMORE and SONS LTD|641002243|270002074|968002076|SOCAMOUSSON|04971012
03079005103|A F BLAKEMORE and SONS LTD|641002243|270002075|968002077|KENTMETERS|80104845
03079005103|A F BLAKEMORE and SONS LTD|641002243|270002080|968002074|KENTMETERS|96509194
03079008601|WILLIAM GIBBONS and SONS LTD|745002006|583105539|550004197|ACTARIS|12KC022693
03079008901|ARCHITECTURAL ALUMINIUM COATINGS LTD|463003679|815002012|455003299|ACTARIS|12JB022434
03079026401|J SAINSBURY PLC|585003976|406004461|584002227|SCHLUMBERGER|13BU124069
05004004201|LISTERS GROUP LIMITED|648004396|120002091|794002358|SCHLUMBERGER|06157894
05090028201|QUALITY PLATED PRODUCTS LIMITED|785003687|509002177|367008555|SCHLUMBERGER|14XF104722.
05090029001|MIKE DE COURCEY TRAVEL LIMITED|463010203|11002064|827011171|KENTMETERS|80051978
05090029001|MIKE DE COURCEY TRAVEL LIMITED|463010203|365002042|858003155|KENTMETERS|80051965
05090030301|BIRMINGHAM BIOPOWER LIMITED|858005942|455002620|226006151|ACTARIS|14KD030310
05090031901|STRIP TINNING LIMITED|103007694|496002078|448002419|ACTARIS|12MA218632
05090031901|STRIP TINNING LIMITED|103007694|908074954|271002592|ACTARIS|10127652
05090031901|STRIP TINNING LIMITED|103007694|908074954|609002720|SMARTMETER|2007163548
05115020101|J SAINSBURYS|700002926|249002345|919002873|UNKNOWN|02029194B
05115020101|J SAINSBURYS|700002926|249002345|487003252|SCHLUMBERGER|10040935
05115020301|SITA UK LIMITED|578002816|198010547|166012777|SCHLUMBERGER|02201820
05115020301|SITA UK LIMITED|578002816|198014675|379027310|KENTMETERS|93611412
05115020601|NATIONAL EXHIBITION CENTRE LTD|460007006|599002868|435004616|SCHLUMBERGER|13XK063825
05115020601|NATIONAL EXHIBITION CENTRE LTD|460007006|599002868|887002424|SOCAMOUSSON|05071960
05115020801|PLASTIC OMNIUM|397009719|908060351|129004047|SENSUS|02622484
05115022001|SERCK HEAT EXCHANGE|343012665|703028239|736002107|SMARTMETER|05330039
05191007100|CARLSBERG SUPPLY COMPANY  UK LTD|320002256|698002609|362002931|UNKNOWN|MC001631A
05191009600|BRITISH CAR AUCTIONS LTD|592003477|547083550|825009948|KENTMETERS|97001533
05191058901|ELEY LTD|35002095|831042846|776004449|KENTMETERS|89821867
05191062201|ARMAC MANUFACTURING (BRASSFOUNDERS) LTD|567006779|423002107|80002179|SOCAMOUSSON|01972408
05192066201|EXOVA (UK) LIMITED|563005177|535002385|118002685|KENTMETERS|06098118A
05193025000|BAILEY and MACKEY LTD|731002027|602002137|226005994|SCHLUMBERGER|11223929
05193029700|BIRMINGHAM CITY COUNCIL|592003497|406003446|319013347|SCHLUMBERGER|13XH061151X
05193066501|ASHTON and MOORE LTD|432003730|999002103|968004564|ACTARIS|11061533
05193067801|SELECTA SYSTEMS LIMITED|461007288|831215462|275035923|SOCAMOUSSON|01939577
05194038000|ANOPOL LIMITED|769002026|790002035|208002044|SOCAMOUSSON|01571620
05194038000|ANOPOL LIMITED|769002026|790002067|208002043|SOCAMOUSSON|02055564
05194044300|HICKS METALS and ALLOYS LTD|769002029|790002042|957002855|ACTARIS|10163397
05194044300|HICKS METALS and ALLOYS LTD|769002029|790002083|738002220|UNKNOWN|10163397
05194066401|EDGBASTON HIGH SCHOOL|159007667|602002792|955002617|KENTMETERS|96000114
05291053400|MIDLAND LINEN SERVICES LTD|777002068|596002681|659011183|SCHLUMBERGER|16XF058209
05291053400|MIDLAND LINEN SERVICES LTD|777002068|596002682|657002572|SOCAMOUSSON|01939727
05292054600|MILLER PLATING CO.|592003689|760002147|143002163|KENTMETERS|99A818835
05292054600|MILLER PLATING CO.|592003689|831114070|380004862|ACTARIS|14MA095293
05292065500|HONEYGLEN ANODISING LTD|406003029|434003528|375006998|SCHLUMBERGER|14XF104712
05292065500|HONEYGLEN ANODISING LTD|406003029|434003528|222002849|SOCAMOUSSON|03678040
05292070701|ACE PLATING AND POLISHING LTD|231011074|510096212|197003286|KENTMETERS|98106880
05293027600|TRAVEL WEST MIDLANDS LTD (PREV WEST MIDLANDS TRAVEL)|804002089|406004120|608010094|SCHLUMBERGER|15XF035899
05293027800|TRAVEL WEST MIDLANDS LTD (PREV WEST MIDLANDS TRAVEL LTD)|892002008|406003500|341003503|KENTMETERS|96211050
05293069301|DURA AUTOMOTIVE BODY and GLASS SYSTEMS UK LTD|592003509|535002439|967002306|SCHLUMBERGER|00502742
05293069301|DURA AUTOMOTIVE BODY and GLASS SYSTEMS UK LTD|592003509|535002514|553002334|SMARTMETER|005338515
05294031200|THOMAS FATTORINI LTD|769002035|790002066|124008629|ACTARIS|15JE116441
05294031200|THOMAS FATTORINI LTD|769002035|790002069|380006592|ACTARIS|14KD161238
05294069801|LONDON and BHAM RAILWAY LTD|469006822|225002410|933002019|KENTMETERS|03010502
05294069802|LONDON and BHAM RAILWAY LTD|469006822|225002410|933002019|KENTMETERS|03010502
05294069803|LONDON and BHAM RAILWAY LTD|469006822|225002410|933002019|KENTMETERS|03010502
05920002500|BRITISH PIPELINE AGENCY LTD|968002011|831048258|780010503|KENTMETERS|96002264
05920002500|BRITISH PIPELINE AGENCY LTD|968002011|831048259|198002713|ACTARIS|11223445
06033721001|BUBBLES|893016294|698002665|429002360|UNKNOWN|NSN00423
06313720502|MIDLANDS ELECTROPLATING SERVICES LTD|799002080|198011524|166009708|NEPTUNE|00528182
06313721301|DONCASTER PRECISION CASTINGS - DERITEND LTD|198054515|583085430|121019501|KENTMETERS|88081642
06321807908|BRINTONS CARPETS LIMITED|906005873|406002217|335006584|ACTARIS|13KC038241
06321807908|BRINTONS CARPETS LIMITED|906005873|406002217|695002971|SCHLUMBERGER|11057048
06321810801|WYRE FOREST DISTRICT COUNCIL|302002055|608002013|312004400|SCHLUMBERGER|12M114419.
06321810801|WYRE FOREST DISTRICT COUNCIL|302002055|608002013|212004139|UNKNOWN|05671582B
06321826301|ANDUFF CARWASH LTD|719008142|547090672|488002490|SCHLUMBERGER|09198546
06321828301|ASTON MANOR BREWERY CO LTD|843008840|831012808|310002218|SCHLUMBERGER|07078055
06321828401|MALTHURST PETROLEUM LTD|137004624|325013159|507005764|SCHLUMBERGER|15BU093005
06353000101|STARBRANDS LTD|271004485|831199624|289007722|ACTARIS|12JB017591
06353000101|STARBRANDS LTD|271004485|601067488|289007722|ACTARIS|12JB017591
06353000101|STARBRANDS LTD|271004485|547019977|289007722|ACTARIS|12JB017591
06353000101|STARBRANDS LTD|271004485|831199624|289007721|ACTARIS|12JB017592
06353000101|STARBRANDS LTD|271004485|601067488|289008144|ACTARIS|12JB017593
06353000101|STARBRANDS LTD|271004485|547019977|289007725|ACTARIS|12JB022377
06354107101|HMP BLAKENHURST PO 3389380|323002012|263002311|483006323|ACTARIS|15XF023245
06354107101|HMP BLAKENHURST PO 3389380|323002012|263002311|564011294|KENTMETERS|97000349
06354107101|HMP BLAKENHURST PO 3389380|323002012|263002311|641002827|SCHLUMBERGER|10018460A.
06354107101|HMP BLAKENHURST PO 3389380|323002012|263002311|887002689|KENTMETERS|96094604
06354107101|HMP BLAKENHURST PO 3389380|323002012|263002311|887002688|KENTMETERS|95012891
06354107101|HMP BLAKENHURST PO 3389380|323002012|263002311|222003363|KENTMETERS|09702438
06354416701|SAMUEL TAYLOR LTD|777002107|596002592|780049807|ACTARIS|15JX007473
06354416801|THE PATENT FERRULE CO LTD|641002253|270002050|968002092|NEPTUNE|00577834
06354416801|THE PATENT FERRULE CO LTD|641002253|270002051|968002093|KENTMETERS|86086240
06354430401|PROTECH FINISHING LIMITED|777002115|270002113|210002788|SCHLUMBERGER|09008100
06354504701|TESCO STORES LTD (EXTRA)|518002144|636002005|201003296|SCHLUMBERGER|15XF038691
06354505701|REDDITCH BOROUGH COUNCIL|472003122|703019354|456005536|ACTARIS|15JX016484
06354506401|BLUE EARTH FOODS LIMITED|981006861|520002172|254002360|SCHLUMBERGER|06812904
06548304101|MALVERN TUBULAR COMPONENTS LTD|777002128|546002242|812017567|ACTARIS|13JB004844
06548304101|MALVERN TUBULAR COMPONENTS LTD|777002128|546002242|575003536|SCHLUMBERGER|11099170
06548309001|LGG CHARLESWORTH LTD|777002130|596002465|151006540|SCHLUMBERGER|15BU062196
06548309001|LGG CHARLESWORTH LTD|777002130|596002464|657002178|KENTMETERS|85075540
06548314301|TULIP (TMB) LIMITED|280011215|908015814|284002621|KENTMETERS|82178296
06555703901|SCHLOETTER COMPANY LTD|320002355|698002550|796002362|KENTMETERS|6432055875
06555703901|SCHLOETTER COMPANY LTD|320002355|698002551|429002087|SOCAMOUSSON|04295818
06555720801|CEMEX UK MATERIALS LTD|966006262|198030559|211002083|KENTMETERS|04243204
06585608301|FIRST MIDLANDS RED BUSES LTD|731002037|602002154|451004930|ACTARIS|15JC128698.
06585608301|FIRST MIDLANDS RED BUSES LTD|731002037|602002235|282003299|ACTARIS|16JC075969
06585614601|SUPERFORM|993002007|406002356|341002358|SOCAMOUSSON|01939843
06585614601|SUPERFORM|993002007|406002357|341002359|SOCAMOUSSON|04852122
06585614601|SUPERFORM|993002007|406002358|934002912|SCHLUMBERGER|08040696
06585614601|SUPERFORM|993002007|547017432|752003082|ACTARIS|10014722
06585614602|SUPERFORM|993002007|406002358|934002912|SCHLUMBERGER|08040696
06585614602|SUPERFORM|993002007|547017432|752003082|ACTARIS|10014722
06585614602|SUPERFORM|993002007|406002357|341002359|SOCAMOUSSON|04852122
06585614602|SUPERFORM|993002007|406002356|341002358|SOCAMOUSSON|01939843
06585623201|BOSCH THERMOTECHNOLOGY LTD|227002007|518002019|179004821|SCHLUMBERGER|16XF058171
06585623202|BOSCH THERMOTECHNOLOGY LTD|227002007|518002019|179004821|SCHLUMBERGER|16XF058171
06585625601|H J HEINZ MANUFACTURING UK LTD|592003542|406002226|189002323|ACTARIS|11088838
06585625601|H J HEINZ MANUFACTURING UK LTD|592003542|406002226|423002366|SCHLUMBERGER|06714962
06592822101|MORGAN TECHNICAL CERAMICS|592003544|535002451|273006961|UNKNOWN|07AC126022
07008000201|CLC SERVICES|322004935|831012324|928003243|ACTARIS|11XH043647
07008106501|TWB FINISHING LTD|378002003|225002682|432002806|SCHLUMBERGER|08197991
07008106501|TWB FINISHING LTD|378002003|225002682|484002514|KENTMETERS|10057056
07008106501|TWB FINISHING LTD|378002003|225002682|178003693|ACTARIS|11148927
07008116701|HANSON QUARRY PRODUCTS EUROPE LTD|592003545|602002500|105009519|ACTARIS|15KE054261
07008516001|SPIRAX SARCO LTD|779010181|213002529|343004697|SCHLUMBERGER|14KE014692
07008516001|SPIRAX SARCO LTD|779010181|213002529|255007519|SCHLUMBERGER|13KE131202
07008516001|SPIRAX SARCO LTD|779010181|213002529|824003593|SCHLUMBERGER|11XF127192
07008516001|SPIRAX SARCO LTD|779010181|213002529|909008963|SCHLUMBERGER|15JB012988
07008516002|SPIRAX SARCO LTD|779010181|213002529|824003593|SCHLUMBERGER|11XF127192
07008516002|SPIRAX SARCO LTD|779010181|213002529|255007519|SCHLUMBERGER|13KE131202
07008516002|SPIRAX SARCO LTD|779010181|213002529|343004697|SCHLUMBERGER|14KE014692
07008516002|SPIRAX SARCO LTD|779010181|213002529|909008963|SCHLUMBERGER|15JB012988
07023000201|TEWKESBURY COLD STORES CO LTD|954002054|225002691|296030061|ACTARIS|16JE009441
07023000202|TEWKESBURY COLD STORES CO LTD|954002054|225002691|296030061|ACTARIS|16JE009441
07026521001|GOFFS BREWERY LTD|592003718|535002508|967002124|PONTAMOUSSON|04762096
07138215901|PETLON POLYMERS LTD|592003720|535002472|440006995|KENTMETERS|00012575.
07138215901|PETLON POLYMERS LTD|592003720|535002472|967002283|KENTMETERS|99824135
07204424701|T J W PRECISION ENGINEERING LTD|592003552|385050772|379013779|KENTMETERS|98115404
07204424701|T J W PRECISION ENGINEERING LTD|592003552|385050773|379013780|KENTMETERS|98115478
07204424701|T J W PRECISION ENGINEERING LTD|592003552|535002523|967002251|PONTAMOUSSON|04717678
07204424701|T J W PRECISION ENGINEERING LTD|592003552|535002521|967002250|PONTAMOUSSON|04717675
07204424701|T J W PRECISION ENGINEERING LTD|592003552|535002468|401004776|SCHLUMBERGER|15BU059325
07207320101|ERMIN PLANT HIRE SERVICE LTD|592003554|535002287|570007914|ACTARIS|14JB035708.
07207320101|ERMIN PLANT HIRE SERVICE LTD|592003554|535002288|890002493|SCHLUMBERGER|07103112
07207320101|ERMIN PLANT HIRE SERVICE LTD|592003554|535002517|301004097|ACTARIS|14JB021649
07207325201|BAYLISS (GLOUCESTER) LTD|592003556|535002289|787002460|ACTARIS|12KC061321
07207325201|BAYLISS (GLOUCESTER) LTD|592003556|535002302|834003020|ACTARIS|12JB017546
07207328501|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|592003557|535002294|967002106|KENTMETERS|96531844
07207328501|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|592003557|535002295|967002105|KENTMETERS|97236409
07207328601|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|592003557|535002294|967002106|KENTMETERS|96531844
07207328601|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|592003557|535002295|967002105|KENTMETERS|97236409
07207332401|BRISTOL STREET MOTORS|320002367|698002446|429002075|KENTMETERS|99812818
07207332801|PJ KING and SON|592003725|385039535|277003134|ACTARIS|14KC096433
07210409001|WSP TEXTILES LIMITED|804002079|406002272|341002277|KENTMETERS|97549021
07210422501|AUWELL ELECTRONICS LTD|592003728|535002429|134007142|ACTARIS|14MA213995
07210422501|AUWELL ELECTRONICS LTD|592003728|535002426|600009148|FUSION|03355793A
07210426601|OLYMPIC VARNISH CO LTD|592003730|535002516|967002090|KENTMETERS|97542037
07210427201|BRIMSCOMBE PLATER LTD|592003731|831064071|610004848|ACTARIS|11018672
08065006302|MORGAN TECHNICAL CERAMICS|382002213|547116387|491002876|ACTARIS|12KD124051
08065651701|BLANC AERO INDUSTRIES UK LTD|429002011|434002638|619002012|KENTMETERS|03152817
08065651701|BLANC AERO INDUSTRIES UK LTD|429002011|831038631|588008850|KENTMETERS|96531617
08065651702|BLANC AERO INDUSTRIES UK LTD|429002011|434002638|619002012|KENTMETERS|03152817
08065651702|BLANC AERO INDUSTRIES UK LTD|429002011|831038631|588008850|KENTMETERS|96531617
08065651703|BLANC AERO INDUSTRIES UK LTD|429002011|434002638|619002012|KENTMETERS|03152817
08065651703|BLANC AERO INDUSTRIES UK LTD|429002011|831038631|588008850|KENTMETERS|96531617
08065651707|BLANC AERO INDUSTRIES UK LTD|429002011|434002638|619002012|KENTMETERS|03152817
08065651707|BLANC AERO INDUSTRIES UK LTD|429002011|831038631|588008850|KENTMETERS|96531617
08072723901|WM MORRISON SUPERMARKETS PLC|712002014|406004505|868002014|ACTARIS|12KC018899
08072723901|WM MORRISON SUPERMARKETS PLC|712002014|406004507|496002477|SCHLUMBERGER|09233717
09025023301|COVRAD HEAT TRANSFER LTD|592003576|535002320|961009701|SCHLUMBERGER|16XH028103A
09025023301|COVRAD HEAT TRANSFER LTD|592003576|535002319|133002732|SCHLUMBERGER|16XF082266
09025023304|COVRAD HEAT TRANSFER LTD|592003576|535002319|133002732|SCHLUMBERGER|16XF082266
09025023304|COVRAD HEAT TRANSFER LTD|592003576|535002320|961009701|SCHLUMBERGER|16XH028103A
09025025208|SANDVIK LTD|406003070|434002654|318003622|SCHLUMBERGER|15XF120386A
09025025209|SANDVIK LTD|406003070|434002654|318003622|SCHLUMBERGER|15XF120386A
09025028102|FEDERAL-MOGUL SINTERED PRODS|588002009|803002015|135011057|SCHLUMBERGER|15XH022622
09025028106|FEDERAL-MOGUL SINTERED PRODS|588002009|803002015|135011057|SCHLUMBERGER|15XH022622
09025032401|WM MORRISON SUPERMARKETS PLC|617002005|303003915|970003902|KENTMETERS|96001423
09025032401|WM MORRISON SUPERMARKETS PLC|617002005|303003938|970003924|KENTMETERS|97852558
09025038002|SYTNER COVENTRY LTD|659004632|596002417|657002498|SOCAMOUSSON|02201387
09025039601|EN-MACH SERVICES|592003746|703007202|944003606|ACTARIS|13MA259666
09025041401|J SAINSBURY PLC|663002007|406004454|437002589|KENTMETERS|09330330
09025041401|J SAINSBURY PLC|663002007|406004455|341004372|KENTMETERS|97028069
09025041601|MEGGITT AEROSPACE LIMITED|592003747|599002941|804011964|SCHLUMBERGER|11XI065198
09025041601|MEGGITT AEROSPACE LIMITED|592003747|599002941|887002335|KENTMETERS|84601719
09025041601|MEGGITT AEROSPACE LIMITED|592003747|599002941|514003471|ACTARIS|14KE014697
09025041601|MEGGITT AEROSPACE LIMITED|592003747|599002941|887002345|KENTMETERS|84600667
09025041602|MEGGITT AEROSPACE LIMITED|592003747|599002941|804011964|SCHLUMBERGER|11XI065198
09025041602|MEGGITT AEROSPACE LIMITED|592003747|599002941|887002335|KENTMETERS|84601719
