13JB056667|ACTARIS|5|METRICm3||22|M|2016-04-01|100|22||0|0|||RADIO INTERNAL RSN: 130894675-208 - RSN: 130894675-208 PROPERTY TYPE: COMMERCIAL LOCATION: METER CUPBOARD|413619.0|290708.0|RADIO INTERNAL RSN: 130894675-208 - RSN: 130894675-208 PROPERTY TYPE: COMMERCIAL LOCATION: METER CUPBOARD|O|POTABLE|I|0||1|2WRAD|130894675-208|RADIAN 2way radio|||NEW VISITORS CENTRE|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
96002113|KENTMETERS|6|METRICm3||80|M|2016-04-01|100|80||0|0|||EXTERNAL CHAMBER IN METER CHAMBER IN CAR PARK LHS OF BLOCK I SP1286990616|||||POTABLE|O|0||0||||||Z/D BLOCK & FACTORY|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
98311753|KENTMETERS|4|METRICm3||22|M|2002-08-03|100|22||0|0|411087.0|249563.0|BOUNDARY BOX FARM HOUSES & 2COTTAGES ULLINGTON       R.S. OUTSIDE BRICK HOUSE BY FIRE HYDRANT. BICKMARSH FM LODGE|||||POTABLE|O|0||0||||||BICKMARSH HALL FARM|HONEYBOURNE ROAD|||BIDFORD-ON-AVON|ALCESTER|B50 4PE|
14XF094639|SCHLUMBERGER|5|METRICm3||50|M|2014-08-21|100|50||0|0|413620.0|290984.0|BOUNDARY BOX CHELLO FITTED AND RADIO READ REMOVED|413620.0|290984.0|BOUNDARY BOX CHELLO FITTED AND RADIO READ REMOVED|O|POTABLE|O|0||1|2WRAD|Unavailable|RADIAN 2way radio||||CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
14XL121026|SCHLUMBERGER|6|METRICm3||100|M|2016-04-01|100|100||0|0|||EXTERNAL CHAMBER IRON LID BY GHOUSE,GATES BY ISLAND OUTREADER IN BB BY LID|||||POTABLE|O|0||0||||||A BLOCK & FACTORY|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
04843785|SOCAMOUSSON|4|METRICm3||15|B|2002-05-29|100|15||0|0|393211.0|224387.0|EXTERNAL CHAMBER SO9321124387. L2 MTR IN RH PIT FACING UNIT 6|||||POTABLE|O|0||0||||||4 MANOR PARK BUSINESS CENTRE|MACKENZIE WAY|||SWINDON|CHELTENHAM|GL51 9TX|
99818426|UNKNOWN|5|METRICm3||42|M|2016-04-01|100|42||0|0|||INTERNAL VISUAL IN B BLOCK NEXT 2 OFFICE|||||POTABLE|I|0||0||||||B BLOCK|CHESTER ROAD|||CASTLE VALE|BIRMINGHAM|B35 7RA|
0100240|ACTARIS|5|METRICm3||28|B|2004-04-14|100|28||0|0|435728.0|378618.0|BB FRONT IN LINE CHAMBER RHS OF NO ENTRY IN GV. 3572878618 RSN:160472798-149..|435728.0|378618.0|BB FRONT IN LINE CHAMBER RHS OF NO ENTRY IN GV. 3572878618 RSN:160472798-149..|O|POTABLE|O|0||1|2WRAD|Unavailable|RADIAN 2way radio||||GREEN LANE||||DRONFIELD|S18 2FZ|
06803039|ACTARIS|5|METRICm3||22|B|2010-12-15|100|22||0|0|441651.0|382604.0|RADIO INTERNAL RSN 090658649069 INT MTR IN UTILITY.|441651.0|382604.0|RADIO INTERNAL RSN 090658649069 INT MTR IN UTILITY.|O|POTABLE|I|0||1|2WRAD|090658649-069|RADIAN 2way radio|||OWLTHORPE MEDICAL CENTRE|3 MOORTHORPE BANK|||OWLTHORPE|SHEFFIELD|S20 6PD|
07MA999620|ACTARIS|5|METRICm3||22|B|2011-04-01|100|22||0|0|444334.0|383242.0|RADIO INTERNAL RSN: 110256679236 - MA...11-0256679-236PROPERTY TYPE: COMMERCIAL RSN: 110256679236 RSN:110256679236 MA...11-0256679-236|444334.0|383242.0|RADIO INTERNAL RSN: 110256679236 - MA...11-0256679-236PROPERTY TYPE: COMMERCIAL RSN: 110256679236 RSN:110256679236 MA...11-0256679-236|O|POTABLE|I|0||1|2WRAD|110256679-236|RADIAN 2way radio||||HIGH STREET|||BEIGHTON|SHEFFIELD|S20 1HE|
09001053|ACTARIS|5|METRICm3||22|B|2011-06-14|100|22||0|0|473217.0|287397.0|RADIO INTERNAL PROPERTY TYPE: MD01 FLAT RSN: 110168868146  WATER ISO PASS: HALLWAY RSN:110168868146|473217.0|287397.0|RADIO INTERNAL PROPERTY TYPE: MD01 FLAT RSN: 110168868146  WATER ISO PASS: HALLWAY RSN:110168868146|O|POTABLE|I|0||1|2WRAD|110168868-146|RADIAN 2way radio|||EDINBURGH HOUSE|ABBEY STREET||||MARKET HARBOROUGH|LE16 9AA|53469120
09001062|ACTARIS|5|METRICm3||22|B|2010-04-01|100|22||0|0|473217.0|287397.0|RADIO INTERNAL PROPERTY TYPE: MD01 FLAT RSN: 110168887129  WATER ISO PASS: OUTSIDE WALL BOX RSN:110168887129|473217.0|287397.0|RADIO INTERNAL PROPERTY TYPE: MD01 FLAT RSN: 110168887129  WATER ISO PASS: OUTSIDE WALL BOX RSN:110168887129|O|POTABLE|I|0||1|2WRAD|110168887-129|RADIAN 2way radio|||EAST LTD|28 HIGH STREET||||MARKET HARBOROUGH|LE16 7NL|
09HB001051|ACTARIS|5|METRICm3||22|B|2011-06-14|100|22||0|0|82644.0|5186.0|RADIO INTERNAL METER ROOM IN UNDERGROUND CAR PARK|82644.0|5186.0|RADIO INTERNAL METER ROOM IN UNDERGROUND CAR PARK|O|POTABLE|I|0||1|2WRAD|110168876-154|RADIAN 2way radio|||EDINBURGH HOUSE|ABBEY STREET||||MARKET HARBOROUGH|LE16 9AA|
09HB001052|ACTARIS|5|METRICm3||22|B|2011-06-14|100|22||0|0|473217.0|287398.0|RADIO INTERNAL RSN: 110168870144  WATER ISO PASS: HALLWAY RSN:110168870144.|473217.0|287398.0|RADIO INTERNAL RSN: 110168870144  WATER ISO PASS: HALLWAY RSN:110168870144.|O|POTABLE|I|0||1|2WRAD|110168870-144|RADIAN 2way radio||||4 ABBEY STREET||||MARKET HARBOROUGH|LE16 9AA|
09HB001061|ACTARIS|5|METRICm3||22|B|2011-06-14|100|22||0|0|473217.0|287397.0|RADIO INTERNAL METER ROOM IN UNDER GROUND CAR PARK|||||POTABLE|I|0||0||||||EDINBURGH HOUSE|ABBEY STREET||||MARKET HARBOROUGH|LE16 9AA|
09HB001063|ACTARIS|5|METRICm3||22|B|2011-04-01|100|22||0|0|473202.0|287443.0|RADIO INTERNAL RSN:110168892138|473202.0|287443.0|RADIO INTERNAL RSN:110168892138|O|POTABLE|I|0||1|2WRAD|110168892-138|RADIAN 2way radio||||27 HIGH STREET||||MARKET HARBOROUGH|LE16 7NL|52289181
10003136|ACTARIS|5|METRICm3||15|B|2011-01-14|100|15||0|0|445061.0|375469.0|RADIO INTERNAL RSN 100539345-088INT.(TP/LSR) UNDER KITCHEN SINK  *NEW MTR NO 05332683*   OPEN TUESDAY AFTERNOONS FR|445061.0|375469.0|RADIO INTERNAL RSN 100539345-088INT.(TP/LSR) UNDER KITCHEN SINK  *NEW MTR NO 05332683*   OPEN TUESDAY AFTERNOONS FR|O|POTABLE|I|0||1|2WRAD|100539345-088|RADIAN 2way radio|||OLD PEOPLES REST ROOM|CHERRY TREE GROVE|||MASTIN MOOR|CHESTERFIELD|S43 3AF|
10026647|ACTARIS|5|METRICm3||15|B|2010-04-16|100|15||0|0|406172.0|380897.0|RADIO INTERNAL F3 RSN100117265-251 RADIO READ INTERNAL  HALLWAY|406172.0|380897.0|RADIO INTERNAL F3 RSN100117265-251 RADIO READ INTERNAL  HALLWAY|O|POTABLE|I|0||1|2WRAD|100117265-251|RADIAN 2way radio||||120 MARKET STREET|||CHAPEL-EN-LE-FRITH|HIGH PEAK|SK23 0HZ|
10026648|ACTARIS|5|METRICm3||15|B|2010-08-25|100|15||0|0|468357.0|293731.0|RADIO INTERNAL RSN100117284-206 - INTERNAL METER IN CELLAR BOTTOM OF STAIRS LHS SWAN PUB|468357.0|293731.0|RADIO INTERNAL RSN100117284-206 - INTERNAL METER IN CELLAR BOTTOM OF STAIRS LHS SWAN PUB|O|POTABLE|I|0||1|2WRAD|100117284-206|RADIAN 2way radio||||5 HIGH STREET|||KIBWORTH|LEICESTER|LE8 0LR|
